<s>	<s>	<s>	<s>	<s>	O
Doamnelor	doamnă	Ncfpoy	Nc	NPOY	O
și	și	Crssp	Cr	CR	O
domnilor	domn	Ncmpoy	Nc	NPOY	O
,	,	COMMA	CO	COMMA	O
Declar	declara	Vmip1s	Vm	V1	O
deschisă	deschis	Afpfsrn	Af	ASN	O
ședința	ședință	Ncfsry	Nc	NSRY	O
de	de	Spsa	Sp	S	O
astăzi	astăzi	Rgp	Rg	R	TIME
a	al	Tsfs	Ts	TS	O
Camerei	cameră	Ncfsoy	Nc	NSOY	ORG
Deputaților	deputat	Ncmpoy	Nc	NPOY	ORG
.	.	PERIOD	PE	PERIOD	O
</s>	</s>	</s>	</s>	</s>	O
<s>	<s>	<s>	<s>	<s>	O
Vă	tu	Pp2-pa--------w	Pp	PPPA	O
anunț	anunța	Vmip1s	Vm	V1	O
că	că	Csssp	Cs	C	O
din	din	Spsa	Sp	S	O
totalul	total	Ncmsry	Nc	NSRY	O
de	de	Spsa	Sp	S	O
341	341	Np	Np	NP	O
de	de	Spsa	Sp	S	O
deputați	deputat	Ncmp-n	Nc	NPN	O
și-	sine	Px3--d--y-----w	Px	PXD	O
au	avea	Va--3p	Va	VA3P	O
înregistrat	înregistra	Vmp--sm	Vm	VPSM	O
prezența	prezență	Ncfsry	Nc	NSRY	O
la	la	Spsa	Sp	S	O
lucrări	lucrare	Ncfp-n	Nc	NPN	O
281	281	Yn	Yn	Y	O
,	,	COMMA	CO	COMMA	O
60	60	Mc-p-d	Mc	M	O
de	de	Spsa	Sp	S	O
colegi	coleg	Ncmp-n	Nc	NPN	O
sunt	fi	Vmip3p	Vm	V3	O
absenți	absent	Afpmp-n	Af	APN	O
,	,	COMMA	CO	COMMA	O
11	11	Mc-p-d	Mc	M	O
participă	participa	Vmis3s	Vm	V3	O
la	la	Spsa	Sp	S	O
alte	alt	Di3fpr---e	Di	PI	O
acțiuni	acțiune	Ncfp-n	Nc	NPN	O
parlamentare	parlamentar	Afpfp-n	Af	APN	O
.	.	PERIOD	PE	PERIOD	O
</s>	</s>	</s>	</s>	</s>	O
<s>	<s>	<s>	<s>	<s>	O
Cvorumul	cvorum	Ncmsry	Nc	NSRY	O
prevăzut	prevedea	Vmp--sm	Vm	VPSM	O
de	de	Spsa	Sp	S	O
articolul	articol	Ncmsry	Nc	NSRY	O
128	128	Np	Np	NP	O
din	din	Spsa	Sp	S	O
Regulament	regulament	Ncms-n	Nc	NSN	O
este	fi	Vaip3s	Va	VA3S	O
întrunit	întruni	Vmp--sm	Vm	VPSM	O
.	.	PERIOD	PE	PERIOD	O
</s>	</s>	</s>	</s>	</s>	O
<s>	<s>	<s>	<s>	<s>	O
Ordinea	ordine	Ncfsry	Nc	NSRY	O
de	de	Spsa	Sp	S	O
zi	zi	Ncfsrn	Nc	NSRN	O
și	și	Crssp	Cr	CR	O
programul_de_lucru	program_de_lucru	Ncmsry	Nc	NSRY	O
ale	al	Tsfp	Ts	TP	O
Camerei	cameră	Ncfsoy	Nc	NSOY	ORG
pentru	pentru	Spsa	Sp	S	O
această	acest	Dd3fsr---e	Dd	DMSR	O
săptămână	săptămână	Ncfsrn	Nc	NSRN	O
au	avea	Va--3p	Va	VA3P	O
fost	fi	Vap--sm	Va	VA	O
aprobate	aproba	Vmp--pf	Vm	VPPF	O
în	în	Spsa	Sp	S	O
ședința	ședință	Ncfsry	Nc	NSRY	O
din	din	Spsa	Sp	S	O
ziua	zi	Ncfsry	Nc	NSRY	O
de	de	Spsa	Sp	S	O
joi	joi	Ncf--n	Nc	NN	TIME
,	,	COMMA	CO	COMMA	TIME
8	8	Mc-p-d	Mc	M	TIME
februarie	februarie	Ncms-n	Nc	NSN	TIME
.	.	PERIOD	PE	PERIOD	O
</s>	</s>	</s>	</s>	</s>	O
<s>	<s>	<s>	<s>	<s>	O
Pentru	pentru	Spsa	Sp	S	O
început	început	Ncms-n	Nc	NSN	O
,	,	COMMA	CO	COMMA	O
vă	tu	Pp2-pa--------w	Pp	PPPA	O
informez	informa	Vmip1s	Vm	V1	O
că	că	Csssp	Cs	C	O
vă	tu	Pp2-pa--------w	Pp	PPPA	O
puteți	putea	Vmip2p	Vm	V2	O
exercita	exercita	Vmnp	Vm	VN	O
dreptul	drept	Ncmsry	Nc	NSRY	O
de	de	Spsa	Sp	S	O
sesizare	sesizare	Ncfsrn	Nc	NSRN	O
a	al	Tsfs	Ts	TS	O
Curții	curte	Ncfsoy	Nc	NSOY	ORG
Constituționale	constituțional	Afpfson	Af	ASON	ORG
asupra	asupra	Spsg	Sp	S	O
Legii	lege	Ncfsoy	Nc	NSOY	O
pentru	pentru	Spsa	Sp	S	O
ratificarea	ratificare	Ncfsry	Nc	NSRY	O
